School,ID,Ball State University,Indiana State University,University of Southern Indiana,IU-Bloomington,IU-East,IU-Kokomo,IU-Northwest,IU-Purdue University-Indianapolis,IU-South Bend,IU-Southeast,IU-Purdue University-Fort Wayne,PU-Calumet Campus,PU-North Central Campus,PU-Polytechnic Statewide,PU-West Lafayette,Ivy Tech Community College,Vincennes University,Year
LawrenceNorthHighSchool,5276,33,36,8,41,0,0,0,45,0,0,1,0,0,0,35,83,11,2014
LawrenceburgHighSchool,1177,10,3,1,3,2,0,0,4,0,0,0,0,0,0,3,28,0,2014
LebanonSeniorHighSchool,0553,6,7,1,7,0,0,0,26,0,0,0,0,0,0,19,27,6,2014
LeoJuniorSeniorHighSchool,0049,14,3,0,9,0,0,0,3,0,0,40,0,0,0,9,18,2,2014
LewWallaceSciTechEngMath,4029,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,16,7,2014
LewisCassJrSrHighSchool,0689,1,0,0,0,0,23,0,3,0,0,2,0,0,1,4,8,0,2014
LibertyChristianSchool,C225,2,1,0,1,0,0,0,3,0,0,0,0,0,0,0,4,0,2014
LighthouseChristianAcademy,C927,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
LincolnHighSchool,3553,0,4,1,4,0,0,0,1,0,0,0,0,0,0,2,2,90,2014
LincolnSrHighSch,8961,6,4,0,3,15,0,0,1,0,0,0,0,0,0,5,24,0,2014
LintonStocktonHighSchool,2437,1,18,1,2,0,0,0,1,0,0,0,0,0,0,1,10,13,2014
LogansportCommunityHighSchool,0701,9,2,1,13,0,22,0,26,0,0,2,0,0,1,11,42,4,2014
LoogooteeHighSchool,6003,0,1,2,3,0,0,0,2,0,2,0,0,0,0,0,1,36,2014
LowellSeniorHighSchool,3865,13,6,3,10,0,0,16,3,1,0,0,35,4,0,12,22,2,2014
LutheranHighSchool,C270,5,1,0,7,0,1,0,6,0,2,0,0,0,0,1,7,1,2014
MaconaquahHighSchool,6032,7,0,3,2,0,30,0,0,0,0,2,0,0,3,2,29,1,2014
MadisonConsolidatedHighSchool,3309,6,1,5,12,0,0,0,5,0,13,0,0,0,0,9,39,8,2014
MadisonGrantHighSchool,2321,7,1,0,4,0,8,0,1,0,0,0,0,0,0,5,21,0,2014
ManchesterJrSrHighSchool,8625,7,0,0,0,0,3,0,2,0,0,5,0,0,0,6,9,5,2014
MarianHighSchool,D165,6,1,0,17,0,0,0,3,29,0,3,0,0,0,22,6,0,2014
MarionHighSchool,2351,15,4,1,9,0,5,0,3,0,0,11,0,0,0,7,52,3,2014
MarquetteCatholicHighSchool,C125,1,0,0,5,0,0,1,1,0,0,0,0,8,0,7,0,0,2014
MartinsvilleHighSchool,6329,12,26,8,13,0,0,0,34,0,0,0,0,0,0,12,54,14,2014
MaterDeiHighSchool,D530,4,0,47,12,0,0,0,0,0,0,0,0,0,0,12,2,3,2014
McCutcheonHighSchool,8003,14,8,4,12,0,1,0,9,0,0,0,0,0,1,54,91,5,2014
McLeanEducationCenterAlt,8612,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
MedoraJrSrHighSchool,3093,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
MerrillvilleHighSchool,3809,4,21,0,15,0,0,37,17,0,0,4,28,3,0,8,49,21,2014
MichiganCityHighSchool,4795,14,10,1,13,0,0,4,6,3,0,0,1,49,0,11,41,12,2014
MidwestElitePrepAcadInc,B747,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
MilanHighSchool,7205,5,0,1,3,1,0,0,1,0,1,0,0,0,0,2,27,2,2014
MishawakaHighSchool,7461,12,4,0,8,0,0,0,6,52,0,0,0,1,2,17,38,2,2014
MississinewaHighSchool,2333,8,1,0,2,1,4,0,7,0,0,7,0,0,0,3,41,4,2014
MitchellHighSchool,4925,3,4,7,5,0,0,0,4,0,1,0,0,0,1,5,28,14,2014
MonroeCentralJrSrHighSch,7151,10,1,2,0,5,0,0,1,0,0,0,0,0,0,1,18,3,2014
MonroviaHighSchool,6321,3,2,2,1,0,0,0,10,0,0,0,0,0,0,6,12,4,2014
MooresvilleHighSchool,6369,15,19,7,8,0,1,0,41,0,1,0,0,0,0,11,30,11,2014
MorganTownshipMiddleHighSchool,6825,3,1,0,1,0,0,0,0,0,0,0,0,8,0,4,11,0,2014
MorristownJrSrHighSchool,7661,1,1,0,1,0,0,0,7,0,0,0,0,0,0,3,10,2,2014
MortonSeniorHighSchool,4417,5,7,0,4,0,0,18,13,1,0,0,43,0,0,1,23,4,2014
MountVernonHighSchool,6949,0,1,47,12,0,0,0,3,0,0,0,0,0,0,5,13,4,2014
MtVernonHighSchool,2569,34,5,1,20,1,0,0,23,1,1,0,0,0,0,16,33,7,2014
MTISchoolofKnowledge,C628,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
MuncieCentralHighSchool,1421,25,4,1,3,0,0,0,2,0,0,0,0,0,0,3,40,2,2014
MuncieSouthsideHighSchool,1424,13,1,0,7,0,0,0,3,0,0,0,0,0,0,0,50,3,2014
MunsterHighSchool,4332,10,2,1,53,0,0,22,6,1,0,0,63,1,0,41,21,2,2014
NeighborsNewVistasHighSchool,6864,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
NewAlbanySeniorHighSchool,1925,5,9,10,16,0,0,0,7,0,62,1,0,0,7,4,39,4,2014
NewCastleHighSchool,2825,19,7,0,4,20,0,0,5,0,0,1,0,0,1,4,33,6,2014
NewHavenHighSchool,0297,14,1,0,2,0,0,0,4,0,0,17,0,0,0,5,45,3,2014
NewPalestineHighSchool,2565,18,7,8,21,0,0,0,40,0,0,0,0,0,0,22,30,1,2014
NewPrairieHighSchool,4689,6,3,0,13,0,0,0,6,24,0,1,0,14,0,10,14,3,2014
NewTechInstitute,8326,0,3,13,0,0,0,0,1,0,1,0,0,0,0,2,14,2,2014
NewWashingtonMiddleHighSchool,0809,1,0,3,0,0,0,0,1,0,8,0,0,0,2,0,12,1,2014
NexusAcademyofIndianapolis,5302,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
NoblesvilleHighSchool,2517,61,24,6,59,0,1,0,54,0,0,0,1,0,1,52,71,10,2014
NorthCentralHighSchool,7917,0,11,0,1,0,0,0,0,0,0,0,1,0,0,0,19,4,2014
NorthCentralHighSchool,5451,33,36,4,110,0,0,0,53,0,0,1,1,0,0,37,105,24,2014
NorthDaviessJrSrHighSchool,1121,0,7,5,1,0,0,0,2,0,0,0,0,0,0,2,2,28,2014
NorthDecaturJrSrHighSchool,1267,5,0,0,2,0,0,0,12,0,0,0,0,0,0,5,7,1,2014
NorthHarrisonHighSchool,2629,2,1,5,4,0,0,0,0,0,38,0,0,0,0,2,17,0,2014
NorthHighSchool,8253,5,3,53,11,0,0,0,9,0,1,0,0,0,0,10,44,10,2014
NorthJudsonSanPierreHighSch,7849,0,2,1,2,0,0,1,3,1,0,1,0,11,0,1,13,3,2014
NorthKnoxJrSrHighSchool,3537,0,6,4,1,0,0,0,1,0,0,0,0,0,0,1,2,50,2014
NorthMiamiMiddleHighSchool,6049,1,4,1,0,0,8,0,1,0,0,0,0,0,0,1,9,0,2014
NorthMontgomeryHighSchool,6271,4,2,2,1,0,1,0,4,0,0,0,0,0,0,12,18,4,2014
NorthNewtonJrSrHighSch,6411,0,0,2,3,0,0,1,3,0,0,0,9,3,0,7,11,1,2014
NorthPoseySrHighSch,6975,0,0,35,5,0,0,0,5,0,0,0,0,0,0,13,17,5,2014
NorthPutnamSrHighSch,7061,4,12,2,6,0,0,0,7,0,0,0,0,0,0,3,12,6,2014
NorthSideHighSchool,0101,8,4,0,8,0,1,0,2,3,0,33,0,0,0,6,79,2,2014
NorthVermillionHighSchool,8394,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,2014
NorthWhiteJrSrHighSchool,9135,0,1,0,1,0,1,0,6,0,0,0,0,0,0,3,10,0,2014
NorthWoodHighSchool,1737,7,0,0,12,0,0,0,7,20,0,3,0,0,0,10,9,3,2014
NortheastDuboisHighSchool,1545,3,3,10,1,0,0,0,0,0,3,0,0,0,0,0,2,15,2014
NortheasternHighSchool,8927,3,0,0,0,23,0,0,1,0,1,0,0,0,0,3,17,0,2014
NorthfieldJrSrHighSchool,8651,5,1,0,3,0,1,0,0,0,0,1,1,0,0,6,7,1,2014
NorthridgeHighSchool,1733,10,3,1,17,1,0,0,11,11,0,6,1,0,0,20,29,2,2014
NorthropHighSchool,0219,11,7,1,21,1,1,0,9,0,0,66,0,0,0,9,77,2,2014
NorthviewHighSchool,0933,3,42,2,7,0,0,0,4,0,0,0,0,0,0,6,48,8,2014
NorthwestCommunityHighSchool,5483,1,9,0,1,0,0,0,9,0,0,0,0,0,0,0,22,7,2014
NorthwesternSeniorHighSchool,2897,5,8,0,8,0,21,0,5,0,0,1,0,0,2,8,12,1,2014
NorwellHighSchool,9087,9,2,0,4,0,0,0,6,0,0,23,0,0,0,8,26,0,2014
OakHillHighSchool,6069,7,0,1,11,0,19,0,8,0,0,0,0,0,0,3,15,0,2014
OaklandHighSchool,8015,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
OldenburgAcademy,D135,3,0,0,1,0,0,0,1,0,0,0,0,0,0,4,2,0,2014
OptionsCharterSchoolCarmel,2524,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
OptionsCharterSchoolNoblesville,2551,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,3,2014
OregonDavisJrSrHighSchool,7831,1,0,0,0,0,0,0,0,6,0,1,0,2,0,2,2,0,2014
OrleansJrSrHighSch,6573,1,2,1,1,0,0,0,4,0,9,0,0,0,0,1,8,9,2014
OurLadyOfProvidenceHighSch,A575,3,2,0,20,0,0,0,6,0,26,0,0,0,1,8,8,0,2014
OwenValleyCommunityHS,6613,0,12,4,9,0,0,0,0,0,0,0,0,0,0,6,40,9,2014
PaddockViewResidentialCenter,B167,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
PaoliJrSrHighSch,6581,0,8,6,1,0,0,0,3,0,13,0,0,0,1,2,10,18,2014
PendletonHeightsHighSchool,5053,21,4,3,18,0,0,0,17,0,0,2,0,2,1,13,56,5,2014
PennHighSchool,7353,22,9,3,87,0,0,0,11,141,0,5,0,2,6,60,40,1,2014
PerryCentralJrSrHighSch,6708,1,4,14,5,0,0,0,4,0,2,0,0,0,0,3,2,8,2014
PerryMeridianHighSchool,5307,12,10,7,27,0,0,0,52,0,0,0,0,0,0,10,81,8,2014
PeruHighSchool,6085,11,5,0,0,0,16,0,3,0,0,2,0,0,3,5,13,1,2014
PikeCentralHighSch,6763,4,1,12,2,0,0,0,5,0,0,0,0,0,0,0,7,26,2014
PikeHighSchool,5353,16,47,1,39,0,0,0,48,0,3,0,0,0,0,19,124,18,2014
PinnacleSchool,C899,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
PioneerJrSrHighSchool,0645,1,0,0,1,0,6,0,0,0,0,1,0,0,0,6,15,1,2014
PlainfieldHighSchool,2749,18,14,6,20,0,0,0,47,0,0,0,0,1,0,17,39,3,2014
PlymouthHighSchool,5945,8,1,0,5,0,0,0,1,20,0,5,1,2,0,17,25,1,2014
PortageChristianSchool,D080,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
PortageHighSchool,6853,14,13,4,16,0,0,67,17,0,0,2,19,62,0,15,65,7,2014
PrairieHeightsSrHighSchool,3690,0,0,0,0,0,0,0,0,3,0,10,0,0,0,5,11,1,2014
PrincetonCommunityHighSchool,2249,1,8,29,4,0,0,0,0,0,1,0,0,0,0,4,4,34,2014
ProvidenceCristoReyHighSchool,C623,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
RNelsonSniderHighSchool,0102,13,8,1,23,0,1,0,7,1,0,81,1,0,0,12,62,3,2014
RandolphSouthernJrSrHighSch,7121,4,0,1,0,11,0,0,1,0,0,0,0,0,0,1,3,4,2014
ReitzMemorialHighSchool,D535,4,2,46,30,0,0,0,3,0,0,0,0,0,0,12,7,5,2014
RensselaerCentralHighSchool,3201,1,7,3,8,0,0,0,10,0,0,0,0,0,0,8,8,2,2014
RichmondAcademy,D860,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
RichmondHighSchool,8993,10,8,1,7,68,0,0,11,0,1,2,0,0,4,4,52,5,2014
RileyHighSchool,7513,10,2,1,10,0,0,0,4,37,0,2,1,0,2,6,32,7,2014
RiseUpAcademyatEggleston,7534,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
RisingSunHighSchool,6513,1,1,1,7,0,0,0,0,0,1,0,0,0,0,0,13,0,2014
RiverForestHighSchool,3791,1,0,0,0,0,0,6,2,0,0,0,4,3,0,0,8,0,2014
RivertonParkeJrSrHighSchool,6627,0,24,0,1,0,0,0,0,0,0,0,0,0,0,2,11,1,2014
RivetMiddleHighSchool,B560,0,1,1,2,1,0,0,3,0,0,0,0,0,0,1,0,20,2014
RochesterCommunityHighSchool,2173,4,1,0,0,0,2,0,3,2,0,5,0,0,0,12,10,0,2014
RockCreekCommunityAcademy,0771,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
RockvilleJrSrHighSchool,6637,3,9,1,2,0,0,0,1,0,0,0,0,0,0,3,8,2,2014
RoncalliHighSchool,C320,24,5,3,35,0,0,0,37,0,0,0,0,0,0,29,20,2,2014
RossvilleMiddleSeniorHighSchool,1021,3,3,2,1,0,2,0,1,0,0,2,0,0,0,5,13,0,2014
RushvilleConsolidatedHighSch,7285,11,4,2,5,11,0,0,6,0,0,0,0,0,0,7,28,12,2014
SaintJosephHighSchool,D225,12,1,0,25,0,0,0,4,16,0,0,1,0,1,18,6,0,2014
SalemHighSchool,8857,4,3,3,2,0,0,0,4,0,25,0,0,0,1,4,16,4,2014
ScecinaMemorialSchool,C710,1,6,0,5,0,0,0,1,0,0,0,0,0,0,4,5,4,2014
ScottsburgSeniorHighSchool,7641,8,6,1,2,0,0,0,8,0,12,0,0,0,1,5,15,5,2014
SeegerMemorialJrSrHS,8737,0,5,1,0,0,0,0,1,0,1,0,0,0,0,7,20,3,2014
SetonCatholicHighSchool,D842,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
SeymourChristianAcademy,B455,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
SeymourSeniorHighSchool,3133,14,7,1,5,0,0,0,44,0,8,0,0,0,1,9,28,3,2014
ShakamakJrSrHighSchool,2445,2,10,0,1,0,0,0,2,0,0,0,0,0,0,1,5,8,2014
ShaweMemorialHighSchool,B505,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
ShelbyvilleSrHighSch,7717,16,21,2,4,0,0,0,25,0,0,0,0,0,0,2,20,6,2014
ShenandoahHighSchool,2817,14,1,1,6,2,0,0,2,0,0,0,0,0,0,4,30,4,2014
SheridanHighSchool,2463,9,1,0,2,0,6,1,5,0,0,0,0,0,0,4,10,0,2014
ShoalsCommJrSrHighSch,5985,0,1,2,1,0,0,0,2,0,0,0,0,0,0,1,1,17,2014
ShortridgeHighSchool,5485,1,2,0,2,1,0,0,6,0,0,0,0,0,0,1,7,3,2014
SignatureSchoolInc,8295,3,2,7,21,0,0,0,0,0,0,0,0,0,0,8,0,0,2014
SilverCreekHighSchool,0777,1,2,1,4,0,0,0,3,0,48,0,0,0,4,2,17,2,2014
SouthAdamsHighSchool,0023,10,0,0,1,0,0,0,2,0,0,7,0,0,0,1,13,1,2014
SouthCentralJrSrHighSchool,4737,1,2,0,0,0,0,3,1,1,0,0,0,11,0,4,5,0,2014
SouthCentralJrSrHighSchool,2670,1,0,0,0,0,0,0,1,0,13,0,0,0,1,0,6,1,2014
SouthDearbornHighSchool,1179,6,5,3,0,0,0,0,1,0,2,1,0,0,1,4,41,4,2014
SouthDecaturJrSrHighSchool,1263,2,4,0,2,0,0,0,12,0,1,0,0,0,0,2,9,1,2014
SouthKnoxMiddleHighSchool,3490,4,2,2,4,0,0,0,1,0,0,0,0,0,0,2,0,39,2014
SouthNewtonSeniorHighSch,6417,1,3,0,2,0,2,0,0,0,0,0,0,0,0,2,14,1,2014
SouthPutnamHighSchool,7071,1,14,4,2,0,0,0,4,0,0,0,0,0,0,2,12,8,2014
SouthRipleyHighSchool,7182,0,2,3,2,0,0,0,3,0,1,0,0,0,1,1,18,1,2014
SouthSideHighSchool,0105,7,5,4,17,0,0,0,4,1,0,25,0,0,0,4,64,1,2014
SouthSpencerHighSchool,7795,0,4,24,2,0,0,0,3,0,2,0,0,0,1,5,15,4,2014
SouthVermillionHighSchool,8432,6,35,0,6,0,0,0,1,0,0,0,0,0,0,0,17,2,2014
SouthernWellsJrSrHighSch,9058,11,0,1,0,0,0,0,0,0,0,4,0,0,0,3,7,0,2014
SouthmontSrHighSchool,6257,6,6,3,2,0,0,0,4,0,0,0,0,0,0,6,18,4,2014
SouthportHighSchool,5309,9,12,2,24,0,0,0,46,0,0,0,0,0,0,8,70,8,2014
SouthridgeHighSchool,1588,0,5,14,3,0,0,0,0,0,2,0,0,0,0,5,2,15,2014
SouthwestINRegionalYouthVlg,B562,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
SouthwesternHighSchool,3337,1,2,1,2,0,0,0,5,0,9,0,0,0,0,0,20,7,2014
SouthwesternHighSchool,7701,0,1,0,3,0,0,0,6,0,0,0,1,0,0,5,7,0,2014
SouthwoodJrSrHighSchool,8655,4,0,1,3,0,7,0,9,0,0,7,0,0,1,0,16,3,2014
SpeedwaySeniorHighSchool,5891,7,2,4,7,0,0,0,15,0,0,0,0,0,0,4,15,4,2014
SpringsValleyCommHighSch,6589,1,6,7,5,0,0,0,0,0,1,0,0,0,0,0,2,13,2014
SullivanHighSchool,7957,0,21,1,4,0,0,0,3,0,0,0,0,0,0,1,14,23,2014
SwitzerlandCoSeniorHighSch,7993,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,20,1,2014
TCHarrisSchool,D451,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
TROYCenter,D907,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
TabernacleChristianSchools,C940,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
TaylorHighSchool,2894,3,1,2,2,0,22,0,3,0,0,0,0,0,0,3,17,0,2014
TecumsehJrSrHighSch,8772,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2014
TellCityJrSrHighSchool,6741,0,6,8,3,0,0,0,3,0,5,0,0,0,0,0,11,12,2014
TerreHauteNorthVigoHighSch,8441,6,120,1,15,0,0,0,9,0,0,0,0,0,0,8,71,7,2014
TerreHauteSouthVigoHighSch,8457,7,83,3,11,0,0,0,5,0,0,0,1,2,0,6,63,9,2014
TheAcadofSciEntrepreneurship,6202,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,21,0,2014
TheExcelCenterAnderson,4904,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,12,0,2014
TheExcelCenterKokomo,2976,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
TheExcelCenterLafayette,8094,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
TheExcelCenterLafayetteSq,5912,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
TheExcelCenterRichmond,9012,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
TheIndependenceAcademy,C589,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
TheKingsAcademy,B136,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
TheaBowmanLeadershipAcademy,4022,0,11,0,6,0,0,8,9,0,0,0,4,0,0,1,9,0,2014
TheodoreRooseveltCareerTechnicalAcademy,4033,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,14,3,2014
ThomasAEdisonJrSrHighSchool,3965,0,1,0,1,0,0,8,1,0,0,2,9,2,0,0,10,2,2014
ThomasCarrHoweCommunityHighSchool,5639,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,8,2,2014
TippecanoeValleyHighSchool,3602,4,0,0,4,0,0,0,2,2,0,6,0,0,0,5,33,1,2014
TiptonHighSchool,8177,7,3,1,2,0,14,0,7,0,0,0,0,1,0,7,21,10,2014
ToddAcademyInc,B293,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
TradersPointChristianAcademy,C375,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
TriCentralMiddleHighSchool,8155,2,2,0,0,0,16,0,1,0,0,0,0,0,2,7,9,1,2014
TriJuniorSeniorHighSchool,2773,4,1,1,0,9,0,0,2,0,0,0,0,0,0,4,14,3,2014
TriCountyMiddleSeniorHigh,9141,3,2,2,0,0,0,0,0,0,0,0,0,0,0,8,9,2,2014
TriWestSeniorHighSchool,2731,7,1,8,6,0,0,0,20,0,0,0,0,0,0,6,14,0,2014
TrinityChristianSchool,C561,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
TrinityLutheranHighSchool,B452,2,1,0,4,0,0,0,6,0,3,0,0,0,0,2,5,1,2014
TritonCentralHighSchool,7689,7,2,3,4,0,0,0,7,1,0,1,0,0,0,5,21,7,2014
TritonJrSrHighSchool,5923,8,1,0,1,2,1,0,0,4,0,2,0,0,0,2,11,0,2014
TurkeyRunJrSrHighSchool,6649,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,2014
TwinLakesSeniorHighSchool,9149,4,1,1,9,0,2,0,12,0,0,0,0,1,0,13,33,4,2014
UnionCityCommunityJrSrHS,7161,2,1,0,2,9,0,0,3,0,0,0,0,0,0,3,7,0,2014
UnionCountyHighSchool,8193,8,3,0,4,5,0,0,1,0,0,1,0,0,1,1,12,1,2014
UnionHighSchool,7909,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,10,2014
UnionJuniorHighSchool,7119,2,1,0,0,4,0,0,2,0,0,0,0,0,0,1,7,2,2014
UniversityHeightsPreparatoryAcademy,5864,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
UniversityHighSchoolofIndiana,B241,1,0,1,9,0,0,0,4,0,0,0,0,0,0,6,2,0,2014
ValparaisoHighSchool,6881,22,7,2,49,0,0,16,21,0,0,1,9,37,0,43,46,3,2014
VictoryChristianAcademy,D073,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
WabashHighSchool,8693,2,0,0,6,0,5,0,1,0,0,6,0,0,0,1,16,4,2014
WaldoJWoodMemorialHighSchool,2233,0,2,8,1,0,0,0,0,0,1,0,0,0,0,0,4,4,2014
WaldronJrSrHighSchool,7665,1,1,0,3,0,0,0,4,0,0,0,0,0,0,1,10,0,2014
WapahaniHighSchool,1375,18,0,1,4,0,1,0,2,1,0,0,0,0,1,1,23,0,2014
WarrenCentralHighSchool,5361,37,41,10,24,1,0,0,46,0,0,0,0,0,0,11,131,34,2014
WarsawCommunityHighSchool,3647,19,4,2,29,0,0,0,16,3,0,50,0,0,0,31,53,1,2014
WashingtonCatholicMidHighSch,A660,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
WashingtonHighSchool,7517,3,5,0,5,0,0,0,3,25,0,1,0,0,0,1,40,2,2014
WashingtonHighSchool,1125,0,3,8,13,0,0,0,3,0,0,0,0,0,0,0,0,69,2014
WashingtonTwpMiddleHighSchool,6849,3,3,0,2,0,0,6,0,0,0,0,0,12,0,1,4,0,2014
WawaseeHighSchool,3639,3,3,0,4,0,0,0,4,3,0,11,0,1,0,6,25,5,2014
WayneHighSchool,0177,3,2,0,8,0,0,0,2,0,0,26,0,0,0,5,50,1,2014
WesDelMiddleSeniorHighSchool,1372,13,1,0,0,0,1,0,0,0,0,1,0,0,0,2,16,0,2014
WestCentralSeniorHighSchool,7025,2,0,1,1,0,0,0,4,0,0,0,0,0,0,4,7,1,2014
WestLafayetteJrSrHighSch,8129,3,5,2,19,0,0,0,4,0,0,0,0,0,0,70,23,0,2014
WestNobleHighSchool,6489,2,0,0,5,0,0,0,8,2,0,6,0,1,0,3,23,0,2014
WestSideLeadershipAcademy,4163,3,13,0,0,0,0,6,8,0,0,1,14,1,0,2,39,14,2014
WestVigoHighSchool,8453,2,31,2,2,0,0,0,1,0,0,0,0,0,0,0,33,1,2014
WestWashingtonJrSrHS,8869,1,0,9,2,0,0,0,2,0,9,0,0,0,3,0,7,3,2014
WesternBooneJrSrHighSchool,0539,4,1,1,11,0,0,0,18,0,0,0,0,0,0,16,24,9,2014
WesternHighSchool,2921,15,0,1,3,0,30,0,5,0,0,0,0,0,1,20,17,2,2014
WestfieldHighSchool,2493,51,10,9,65,0,4,0,31,0,0,1,1,1,0,36,52,3,2014
WestviewJrSrHighSchool,3697,1,0,0,4,0,0,0,3,8,0,6,0,0,0,2,7,1,2014
WestvilleHighSchool,4701,3,0,0,2,0,0,1,0,1,0,0,0,14,0,4,11,0,2014
WheelerHighSchool,6841,5,2,1,5,0,0,11,5,1,0,0,4,16,0,5,10,3,2014
WhiteRiverValleyJrSrHighSchool,2429,0,6,3,0,0,0,0,1,0,0,0,0,0,0,2,1,18,2014
WhitesAcademy,B473,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
WhitesJrSrHighSchool,8673,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
WhitelandCommunityHighSchool,3421,11,17,1,15,0,0,0,48,0,3,2,0,0,0,8,74,13,2014
WhitingHighSchool,4353,1,5,0,3,0,0,13,4,3,0,0,10,2,0,3,6,0,2014
WhitkoHighSchool,9191,1,1,0,0,0,0,0,0,0,0,16,1,0,0,4,19,0,2014
WilliamAWirtEmersonVisualPerfArtsAcademy,4168,3,14,0,0,0,0,6,3,0,0,0,4,1,0,1,8,0,2014
WilliamHenryHarrisonHighSch,8029,13,3,1,19,0,0,0,13,1,1,0,0,0,0,67,76,6,2014
WilliamHenryHarrisonHighSchool,8311,1,6,28,5,1,0,0,5,0,1,0,0,0,0,3,31,9,2014
WilliamWBordenHighSchool,0813,0,1,4,0,0,0,0,0,0,14,0,0,0,0,1,8,0,2014
WinamacCommunityHighSchool,6997,5,0,0,0,0,3,0,1,1,0,2,0,0,0,6,7,1,2014
WinchesterCommunityHighSch,7125,10,0,0,2,10,0,0,3,0,0,0,0,0,0,2,19,0,2014
WoodlanJrSrHighSchool,0285,5,2,0,1,0,0,0,1,0,0,14,0,0,0,4,18,0,2014
YorktownHighSchool,1389,47,3,1,13,1,0,0,2,0,0,2,0,0,1,6,44,1,2014
ZionsvilleCommunityHighSchool,0512,30,7,4,70,0,0,0,44,0,0,1,0,0,0,57,28,4,2014
