School,ID,Indiana_Public_College,Indiana_Private_College_np,Indiana_Private_College_fp,Out_of_State_Public_College,Out_of_State_Private_College_(non-profit),Out_of_State_Private_College_(for-profit),Non_degree_Granting_School,Did_Not_Enroll_in_College,Did Not Enroll in College,Non-degree Granting School,Out-of-State Private College (for-profit),Out-of-State Private College (non-profit),Out-of-State Public College
LakelandChristianAcademy,B595,5,6,0,0,4,0,0,1,,,,,
LakelandHighSchool,3730,42,11,2,5,5,0,0,85,,,,,
LanesvilleJrSrHighSchool,2613,18,6,0,7,3,0,0,13,,,,,
LapelSrHighSchool,5011,50,14,1,3,3,0,0,38,,,,,
LaPorteHighSchool,4741,179,34,0,20,15,0,0,172,,,,,
LaVilleJrSrHighSchool,7399,32,17,0,3,0,0,0,29,,,,,
LawrenceCentralHighSchool,5275,245,28,5,20,17,2,1,185,,,,,
LawrenceNorthHighSchool,5276,270,37,9,22,19,1,0,158,,,,,
LawrenceburgHighSchool,1177,56,2,0,23,9,0,0,48,,,,,
LebanonSeniorHighSchool,0553,92,26,1,5,5,1,0,83,,,,,
LeoJuniorSeniorHighSchool,0049,125,27,0,9,7,1,0,63,,,,,
LewWallaceSciTechEngMath,4029,,,,,,,,,,,,,
LewisCassJrSrHighSchool,0689,47,8,4,3,2,0,0,40,,,,,
LibertyChristianSchool,C225,8,16,1,0,4,0,0,2,,,,,
LighthouseChristianAcademy,C927,***,***,***,***,***,***,***,***,,,,,
LincolnHighSchool,3553,104,4,0,3,3,0,0,74,,,,,
LincolnSrHighSch,8961,28,6,1,0,0,0,0,26,,,,,
LintonStocktonHighSchool,2437,51,1,0,2,0,0,0,23,,,,,
LogansportCommunityHighSchool,0701,126,10,8,3,1,0,0,111,,,,,
LoogooteeHighSchool,6003,62,2,0,0,0,0,0,16,,,,,
LowellSeniorHighSchool,3865,149,17,0,11,15,1,0,102,,,,,
LutheranHighSchool,C270,30,20,0,4,6,0,0,5,,,,,
MaconaquahHighSchool,6032,64,6,5,4,1,0,0,42,,,,,
MadisonConsolidatedHighSchool,3309,98,26,0,7,15,0,0,100,,,,,
MadisonGrantHighSchool,2321,44,10,0,0,1,0,0,34,,,,,
ManchesterJrSrHighSchool,8625,35,14,1,3,7,0,0,36,,,,,
MarianHighSchool,D165,96,32,0,5,22,0,0,24,,,,,
MarionHighSchool,2351,107,30,1,5,7,1,0,105,,,,,
MarquetteCatholicHighSchool,C125,20,7,0,4,6,1,0,11,,,,,
MartinsvilleHighSchool,6329,139,30,1,8,9,0,0,141,,,,,
MaterDeiHighSchool,D530,76,12,0,8,4,0,0,7,,,,,
McCutcheonHighSchool,8003,211,22,2,7,3,0,0,139,,,,,
McLeanEducationCenterAlt,8612,***,***,***,***,***,***,***,16,,,,,
MedoraJrSrHighSchool,3093,***,***,***,***,***,***,***,15,,,,,
MerrillvilleHighSchool,3809,220,26,2,29,19,1,2,204,,,,,
MichiganCityHighSchool,4795,162,12,2,12,6,0,0,140,,,,,
MidwestElitePrepAcadInc,B747,***,***,***,***,***,***,***,***,,,,,
MilanHighSchool,7205,23,9,3,8,7,0,0,50,,,,,
MishawakaHighSchool,7461,127,24,2,9,4,0,0,157,,,,,
MississinewaHighSchool,2333,66,25,1,1,1,1,0,75,,,,,
MitchellHighSchool,4925,63,5,0,2,1,0,0,48,,,,,
MonroeCentralJrSrHighSch,7151,44,4,2,1,1,0,0,31,,,,,
MonroviaHighSchool,6321,42,6,0,2,1,0,0,31,,,,,
MooresvilleHighSchool,6369,110,41,2,4,6,0,0,118,,,,,
MorganTownshipMiddleHighSchool,6825,33,11,0,3,2,0,0,6,,,,,
MorristownJrSrHighSchool,7661,23,5,0,0,0,0,0,15,,,,,
MortonSeniorHighSchool,4417,138,13,0,16,3,1,0,111,,,,,
MountVernonHighSchool,6949,82,8,1,14,2,0,0,63,,,,,
MtVernonHighSchool,2569,131,24,2,9,9,1,0,80,,,,,
MTISchoolofKnowledge,C628,***,***,***,***,***,***,***,***,,,,,
MuncieCentralHighSchool,1421,138,12,4,6,4,0,0,122,,,,,
MuncieSouthsideHighSchool,1424,,,,,,,,,,,,,
MunsterHighSchool,4332,217,26,0,37,48,1,0,52,,,,,
NeighborsNewVistasHighSchool,6864,***,***,***,***,***,***,***,42,,,,,
NewAlbanySeniorHighSchool,1925,177,13,1,29,21,1,0,202,,,,,
NewCastleHighSchool,2825,106,16,2,4,6,0,0,108,,,,,
NewHavenHighSchool,0297,94,18,1,0,1,0,0,85,,,,,
NewPalestineHighSchool,2565,142,37,1,9,4,0,0,53,,,,,
NewPrairieHighSchool,4689,96,21,0,15,4,0,1,81,,,,,
NewTechInstitute,8326,32,1,0,0,0,0,0,21,,,,,
NewWashingtonMiddleHighSchool,0809,26,3,0,4,1,0,0,33,,,,,
NexusAcademyofIndianapolis,5302,12,4,0,0,0,0,0,12,,,,,
NoblesvilleHighSchool,2517,342,39,2,30,26,0,0,168,,,,,
NorthCentralHighSchool,7917,39,4,0,2,0,0,0,22,,,,,
NorthCentralHighSchool,5451,388,55,0,55,46,0,1,194,,,,,
NorthDaviessJrSrHighSchool,1121,36,4,0,1,3,0,0,21,,,,,
NorthDecaturJrSrHighSchool,1267,38,9,1,1,2,0,0,32,,,,,
NorthHarrisonHighSchool,2629,61,7,0,8,6,0,0,73,,,,,
NorthHighSchool,8253,163,22,0,31,5,1,0,91,,,,,
NorthJudsonSanPierreHighSch,7849,37,12,1,0,2,0,1,50,,,,,
NorthKnoxJrSrHighSchool,3537,64,4,0,0,0,0,0,32,,,,,
NorthMiamiMiddleHighSchool,6049,34,7,2,3,1,0,0,22,,,,,
NorthMontgomeryHighSchool,6271,67,16,3,4,3,0,0,53,,,,,
NorthNewtonJrSrHighSch,6411,46,9,0,3,4,0,0,48,,,,,
NorthSideHighSchool,0101,134,19,1,6,2,1,0,178,,,,,
NorthVermillionHighSchool,8394,21,2,0,1,1,0,0,16,,,,,
NorthWoodHighSchool,1737,50,37,0,7,4,0,0,77,,,,,
NortheastDuboisHighSchool,1545,46,5,0,2,1,0,0,19,,,,,
NortheasternHighSchool,8927,53,10,0,4,3,0,0,22,,,,,
NorthfieldJrSrHighSchool,8651,39,11,0,0,1,1,0,26,,,,,
NorthridgeHighSchool,1733,115,39,3,11,14,0,0,105,,,,,
NorthropHighSchool,0219,193,35,3,10,8,0,0,167,,,,,
NorthviewHighSchool,0933,122,16,1,4,2,0,0,65,,,,,
NorthwestCommunityHighSchool,5483,31,2,1,1,1,1,0,61,,,,,
NorthwesternSeniorHighSchool,2897,86,20,1,3,5,0,0,29,,,,,
NorwellHighSchool,9087,71,36,5,3,2,0,0,66,,,,,
OakHillHighSchool,6069,56,15,1,3,4,0,0,23,,,,,
OaklandHighSchool,8015,***,***,***,***,***,***,***,10,,,,,
OldenburgAcademy,D135,29,6,0,7,4,0,0,3,,,,,
OptionsCharterSchoolCarmel,2524,***,***,***,***,***,***,***,21,,,,,
OptionsCharterSchoolNoblesville,2551,8,1,0,1,0,0,0,17,,,,,
OregonDavisJrSrHighSchool,7831,14,4,0,0,0,0,0,25,,,,,
OrleansJrSrHighSch,6573,34,4,0,1,2,0,0,20,,,,,
OwenValleyCommunityHS,6613,80,9,0,2,3,0,1,71,,,,,
PaddockViewResidentialCenter,B167,,,,,,,,,,,,,
PendletonHeightsHighSchool,5053,168,29,2,9,8,1,0,90,,,,,
PennHighSchool,7353,416,77,2,58,41,0,4,421,,,,,
PerryMeridianHighSchool,5307,230,47,5,7,13,2,1,200,,,,,
PeruHighSchool,6085,60,12,1,1,2,0,0,62,,,,,
PikeHighSchool,5353,352,32,1,48,14,1,0,219,,,,,
PinnacleSchool,C899,***,***,***,***,***,***,***,***,,,,,
PioneerJrSrHighSchool,0645,28,5,0,0,0,0,0,16,,,,,
PlainfieldHighSchool,2749,179,51,4,15,12,1,1,94,,,,,
PlymouthHighSchool,5945,88,56,1,11,10,0,1,93,,,,,
PortageChristianSchool,D080,***,***,***,***,***,***,***,6,,,,,
PortageHighSchool,6853,273,41,2,14,9,0,0,198,,,,,
PrairieHeightsSrHighSchool,3690,30,16,1,1,3,0,0,62,,,,,
PrincetonCommunityHighSchool,2249,62,4,1,8,2,0,0,39,,,,,
ProvidenceCristoReyHighSchool,C623,21,5,0,0,0,0,0,7,,,,,
RNelsonSniderHighSchool,0102,210,36,0,10,11,0,0,156,,,,,
RandolphSouthernJrSrHighSch,7121,22,4,0,1,0,0,0,16,,,,,
ReitzMemorialHighSchool,D535,78,22,0,26,17,0,0,15,,,,,
RensselaerCentralHighSchool,3201,44,22,1,3,3,0,0,48,,,,,
RichmondAcademy,D860,,,,,,,,,,,,,
RichmondHighSchool,8993,157,15,0,12,4,0,0,119,,,,,
RileyHighSchool,7513,102,18,1,7,7,0,0,78,,,,,
RiseUpAcademyatEggleston,7534,***,***,***,***,***,***,***,40,,,,,
RisingSunHighSchool,6513,24,4,0,6,1,0,0,26,,,,,
RiverForestHighSchool,3791,23,6,0,1,0,0,0,33,,,,,
RivertonParkeJrSrHighSchool,6627,33,6,0,0,0,0,0,32,,,,,
RivetMiddleHighSchool,B560,15,3,0,0,1,0,0,2,,,,,
RochesterCommunityHighSchool,2173,44,16,0,2,1,0,1,49,,,,,
RockCreekCommunityAcademy,0771,20,0,0,2,2,0,0,14,,,,,
RockvilleJrSrHighSchool,6637,30,3,0,3,0,0,0,15,,,,,
RoncalliHighSchool,C320,170,50,1,23,16,0,0,12,,,,,
RossvilleMiddleSeniorHighSchool,1021,41,7,0,1,1,0,0,22,,,,,
SaintJosephHighSchool,D225,65,47,0,19,42,1,0,27,,,,,
SalemHighSchool,8857,52,10,2,4,1,2,0,57,,,,,
ScottsburgSeniorHighSchool,7641,71,8,2,5,5,0,0,77,,,,,
SeegerMemorialJrSrHS,8737,46,7,1,8,0,0,0,31,,,,,
SetonCatholicHighSchool,D842,***,***,***,***,***,***,***,***,,,,,
SeymourChristianAcademy,B455,***,***,***,***,***,***,***,***,,,,,
SeymourSeniorHighSchool,3133,125,16,2,4,5,1,0,142,,,,,
ShakamakJrSrHighSchool,2445,37,1,0,2,1,0,0,16,,,,,
ShaweMemorialHighSchool,B505,6,3,0,2,5,0,0,7,,,,,
ShenandoahHighSchool,2817,49,8,2,1,0,0,0,25,,,,,
SheridanHighSchool,2463,38,15,1,1,2,0,0,27,,,,,
ShoalsCommJrSrHighSch,5985,23,1,0,0,1,0,0,14,,,,,
ShortridgeHighSchool,5485,39,5,1,2,2,0,0,28,,,,,
SignatureSchoolInc,8295,37,15,0,7,11,0,0,5,,,,,
SilverCreekHighSchool,0777,98,2,0,23,4,1,0,63,,,,,
SouthAdamsHighSchool,0023,29,11,3,1,2,0,0,38,,,,,
SouthCentralJrSrHighSchool,4737,39,9,0,1,3,0,0,30,,,,,
SouthCentralJrSrHighSchool,2670,19,1,0,1,2,0,0,33,,,,,
SouthDearbornHighSchool,1179,61,6,1,22,5,1,0,90,,,,,
SouthDecaturJrSrHighSchool,1263,22,3,1,0,1,0,0,35,,,,,
SouthKnoxMiddleHighSchool,3490,53,6,0,1,2,0,0,18,,,,,
SouthNewtonSeniorHighSch,6417,29,5,0,3,0,0,0,20,,,,,
SouthPutnamHighSchool,7071,46,7,1,0,1,0,0,35,,,,,
SouthRipleyHighSchool,7182,29,3,0,8,2,0,0,44,,,,,
SouthSideHighSchool,0105,96,17,1,1,4,0,0,128,,,,,
SouthSpencerHighSchool,7795,45,3,2,11,2,0,0,31,,,,,
SouthVermillionHighSchool,8432,66,8,1,2,0,0,0,39,,,,,
SouthernWellsJrSrHighSch,9058,27,9,1,1,4,0,0,29,,,,,
SouthmontSrHighSchool,6257,56,9,0,3,1,1,0,46,,,,,
SouthportHighSchool,5309,180,40,7,8,10,0,2,213,,,,,
SouthridgeHighSchool,1588,59,6,1,6,4,0,0,46,,,,,
SouthwestINRegionalYouthVlg,B562,***,***,***,***,***,***,***,***,,,,,
SouthwesternHighSchool,3337,33,9,0,1,5,0,0,31,,,,,
SouthwesternHighSchool,7701,10,5,2,1,0,0,0,20,,,,,
SouthwoodJrSrHighSchool,8655,42,7,0,2,5,0,0,36,,,,,
SpeedwaySeniorHighSchool,5891,67,4,1,4,5,0,0,34,,,,,
SullivanHighSchool,7957,54,8,1,8,1,0,0,62,,,,,
TCHarrisSchool,D451,,,,,,,,,,,,,
TROYCenter,D907,***,***,***,***,***,***,***,***,,,,,
TabernacleChristianSchools,C940,***,***,***,***,***,***,***,***,,,,,
TaylorHighSchool,2894,51,4,0,0,2,0,0,35,,,,,
TecumsehJrSrHighSch,8772,21,3,2,8,1,0,0,26,,,,,
TellCityJrSrHighSchool,6741,38,3,0,9,1,0,0,41,,,,,
TerreHauteNorthVigoHighSch,8441,238,25,0,9,9,1,0,110,,,,,
TerreHauteSouthVigoHighSch,8457,211,28,0,11,11,1,0,101,,,,,
TheAcadofSciEntrepreneurship,6202,7,3,0,1,0,0,0,8,,,,,
TheExcelCenterAnderson,4904,***,***,***,***,***,***,***,40,,,,,
TheIndependenceAcademy,C589,***,***,***,***,***,***,***,***,,,,,
TheKingsAcademy,B136,***,***,***,***,***,***,***,***,,,,,
TheaBowmanLeadershipAcademy,4022,49,2,0,10,4,0,1,23,,,,,
TheodoreRooseveltCareerTechnicalAcademy,4033,15,2,0,1,1,0,1,16,,,,,
ThomasAEdisonJrSrHighSchool,3965,43,2,0,3,1,0,0,48,,,,,
ThomasCarrHoweCommunityHighSchool,5639,21,3,1,0,2,1,0,24,,,,,
TippecanoeValleyHighSchool,3602,50,20,0,1,4,0,0,70,,,,,
TiptonHighSchool,8177,56,14,1,0,2,0,0,45,,,,,
ToddAcademyInc,B293,***,***,***,***,***,***,***,***,,,,,
TradersPointChristianAcademy,C375,2,3,0,2,1,4,0,3,,,,,
TriCentralMiddleHighSchool,8155,31,2,2,2,1,0,0,26,,,,,
TriJuniorSeniorHighSchool,2773,33,3,2,1,0,0,0,26,,,,,
TriCountyMiddleSeniorHigh,9141,30,5,0,1,1,0,0,14,,,,,
TriWestSeniorHighSchool,2731,69,26,1,5,2,0,0,39,,,,,
TrinityChristianSchool,C561,***,***,***,***,***,***,***,***,,,,,
TrinityLutheranHighSchool,B452,23,7,0,1,3,0,0,4,,,,,
TritonCentralHighSchool,7689,41,18,5,2,1,0,0,31,,,,,
TritonJrSrHighSchool,5923,29,15,0,1,1,0,0,28,,,,,
TurkeyRunJrSrHighSchool,6649,14,3,0,0,1,0,0,15,,,,,
TwinLakesSeniorHighSchool,9149,75,12,1,1,1,0,0,46,,,,,
UnionCityCommunityJrSrHS,7161,34,3,0,1,0,0,0,22,,,,,
UnionCountyHighSchool,8193,51,4,1,6,6,0,0,40,,,,,
UnionHighSchool,7909,,,,,,,,,,,,,
UnionJuniorHighSchool,7119,15,2,0,0,1,0,0,17,,,,,
UniversityHeightsPreparatoryAcademy,5864,***,***,***,***,***,***,***,8,,,,,
UniversityHighSchoolofIndiana,B241,25,16,0,6,15,0,0,7,,,,,
ValparaisoHighSchool,6881,299,50,0,31,32,1,0,104,,,,,
VictoryChristianAcademy,D073,12,6,0,0,2,0,0,4,,,,,
WabashHighSchool,8693,35,14,2,0,2,0,0,47,,,,,
WaldoJWoodMemorialHighSchool,2233,12,8,1,8,2,0,0,23,,,,,
WaldronJrSrHighSchool,7665,19,6,1,0,0,0,0,18,,,,,
WapahaniHighSchool,1375,51,6,0,1,1,0,0,24,,,,,
WarrenCentralHighSchool,5361,366,35,12,20,8,2,0,319,,,,,
WarsawCommunityHighSchool,3647,188,81,1,5,8,0,0,206,,,,,
WashingtonCatholicMidHighSch,A660,11,3,0,1,0,0,0,3,,,,,
WashingtonHighSchool,7517,69,28,0,9,3,1,0,74,,,,,
WashingtonHighSchool,1125,79,5,0,2,4,0,0,64,,,,,
WashingtonTwpMiddleHighSchool,6849,31,1,0,1,2,0,0,18,,,,,
WawaseeHighSchool,3639,86,25,3,7,5,0,0,72,,,,,
WayneHighSchool,0177,89,19,2,5,5,0,0,152,,,,,
WesDelMiddleSeniorHighSchool,1372,48,1,0,0,0,0,0,14,,,,,
WestCentralSeniorHighSchool,7025,20,8,1,2,3,0,0,28,,,,,
WestLafayetteJrSrHighSch,8129,101,6,0,9,18,0,0,22,,,,,
WestNobleHighSchool,6489,43,18,3,4,1,0,0,83,,,,,
WestSideLeadershipAcademy,4163,41,1,0,11,6,1,0,88,,,,,
WestVigoHighSchool,8453,84,4,0,4,1,1,0,36,,,,,
WestWashingtonJrSrHS,8869,27,1,0,1,1,0,0,32,,,,,
WesternBooneJrSrHighSchool,0539,70,12,1,3,2,0,0,39,,,,,
WesternHighSchool,2921,100,20,1,4,3,0,0,53,,,,,
WestfieldHighSchool,2493,260,34,1,29,19,1,0,80,,,,,
WestviewJrSrHighSchool,3697,23,14,3,6,4,0,0,31,,,,,
WestvilleHighSchool,4701,22,5,0,1,2,0,0,32,,,,,
WheelerHighSchool,6841,63,10,0,2,9,0,0,36,,,,,
WhiteRiverValleyJrSrHighSchool,2429,29,3,0,0,0,0,0,21,,,,,
WhitesAcademy,B473,***,***,***,***,***,***,***,***,,,,,
WhitesJrSrHighSchool,8673,***,***,***,***,***,***,***,12,,,,,
WhitelandCommunityHighSchool,3421,165,38,3,8,14,0,1,125,,,,,
WhitingHighSchool,4353,44,15,0,5,2,0,0,19,,,,,
WhitkoHighSchool,9191,38,26,2,2,3,0,0,58,,,,,
WilliamAWirtEmersonVisualPerfArtsAcademy,4168,46,4,0,2,4,0,0,25,,,,,
WilliamHenryHarrisonHighSchool,8311,95,7,1,16,5,2,0,66,,,,,
WilliamWBordenHighSchool,0813,32,3,0,1,1,0,0,18,,,,,
WinamacCommunityHighSchool,6997,40,12,1,1,2,0,0,33,,,,,
WoodlanJrSrHighSchool,0285,43,13,0,0,4,0,0,36,,,,,
YorktownHighSchool,1389,109,20,0,6,9,0,0,42,,,,,
ZionsvilleCommunityHighSchool,0512,231,43,0,39,53,1,0,46,,,,,
