School,ID,Diploma_Honors,Diploma_Core40,Diploma_General,Waiver_Yes,Waiver_No,AP_Passed,AP_NotPassed,AP_NotTaken,DualCredit_Yes,DualCredit_No,21Century_Yes,21Century_No,LunchFR_Yes,LunchFR_No,Race_White,Race_Black,Race_Hispanic,Race_Asian,Race_Other,year,Year
OptionsCharterSchoolCarmel,2524,0,10,11,1,20,0,0,21,5,16,2,21,3,18,17,0,2,0,2,2014,2014
OptionsCharterSchoolNoblesville,2551,0,15,27,8,34,0,0,42,6,36,4,39,13,29,34,3,3,0,2,2014,2014
OregonDavisJrSrHighSchool,7831,17,27,7,7,44,1,14,36,19,32,,39,25,26,50,0,1,0,0,2014,2014
OrleansJrSrHighSch,6573,15,26,28,0,69,2,2,65,39,30,,48,30,39,67,0,0,0,2,2014,2014
OurLadyOfProvidenceHighSch,A575,89,37,5,5,126,30,35,66,105,26,,126,12,119,123,1,2,1,4,2014,2014
OwenValleyCommunityHS,6613,51,74,40,23,142,2,5,158,84,81,,116,65,100,159,0,0,1,5,2014,2014
PaddockViewResidentialCenter,B167,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
PaoliJrSrHighSch,6581,39,59,17,7,108,12,11,92,74,41,,86,49,66,110,0,2,0,3,2014,2014
PendletonHeightsHighSchool,5053,85,114,73,22,250,35,31,206,107,165,,226,80,192,261,2,4,0,5,2014,2014
PennHighSchool,7353,354,490,36,98,782,156,98,626,438,442,,823,174,706,717,54,31,39,39,2014,2014
PerryCentralJrSrHighSch,6708,31,33,6,7,63,5,6,59,49,21,,55,26,44,70,0,0,0,0,2014,2014
PerryMeridianHighSchool,5307,142,284,61,63,424,113,68,306,148,339,,435,182,305,352,27,35,48,25,2014,2014
PeruHighSchool,6085,48,84,19,10,141,6,29,116,105,46,,109,82,69,140,1,3,1,6,2014,2014
PikeCentralHighSch,6763,30,75,21,4,122,5,41,80,79,47,,101,52,74,121,0,1,0,4,2014,2014
PikeHighSchool,5353,123,328,157,60,548,73,51,484,254,354,,486,313,295,83,396,63,20,46,2014,2014
PinnacleSchool,C899,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
PioneerJrSrHighSchool,0645,16,47,0,3,60,6,12,45,41,22,,56,12,51,62,0,0,0,1,2014,2014
PlainfieldHighSchool,2749,170,164,33,9,358,63,37,267,259,108,,328,72,295,322,15,18,8,4,2014,2014
PlymouthHighSchool,5945,68,120,66,12,242,65,16,173,117,137,,229,110,144,204,1,46,1,2,2014,2014
PortageChristianSchool,D080,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
PortageHighSchool,6853,155,417,42,53,561,21,23,570,320,294,,517,286,328,389,64,115,9,37,2014,2014
PrairieHeightsSrHighSchool,3690,28,69,14,4,107,2,2,107,59,52,,96,43,68,101,2,6,0,2,2014,2014
PrincetonCommunityHighSchool,2249,53,58,28,16,123,4,26,109,49,90,,111,36,103,131,3,0,1,4,2014,2014
ProvidenceCristoReyHighSchool,C623,3,13,0,0,16,0,0,16,4,12,0,8,12,4,2,10,4,0,0,2014,2014
RNelsonSniderHighSchool,0102,142,229,39,75,335,59,48,303,126,284,,316,179,231,275,87,18,9,21,2014,2014
RandolphSouthernJrSrHighSch,7121,11,22,10,3,40,1,9,33,20,23,,32,12,31,42,0,0,0,1,2014,2014
ReitzMemorialHighSchool,D535,124,72,5,7,194,65,27,109,111,90,,196,16,185,186,3,0,8,4,2014,2014
RensselaerCentralHighSchool,3201,39,60,2,7,94,2,19,80,83,18,,82,27,74,93,0,4,0,4,2014,2014
RichmondAcademy,D860,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
RichmondHighSchool,8993,89,175,70,27,307,46,25,263,179,155,,227,191,143,234,40,14,6,40,2014,2014
RileyHighSchool,7513,36,184,32,29,223,6,24,222,126,126,,189,140,112,120,66,45,3,18,2014,2014
RiseUpAcademyatEggleston,7534,0,25,7,2,30,0,0,32,0,32,0,32,22,10,12,13,4,0,3,2014,2014
RisingSunHighSchool,6513,14,36,0,4,46,0,7,43,35,15,,42,17,33,49,0,0,0,1,2014,2014
RiverForestHighSchool,3791,12,65,5,9,73,6,9,67,1,81,,69,49,33,47,2,31,0,2,2014,2014
RivertonParkeJrSrHighSchool,6627,28,41,5,0,74,1,2,71,52,22,,50,31,43,70,0,1,0,3,2014,2014
RivetMiddleHighSchool,B560,25,12,1,1,37,0,17,21,19,19,,36,2,36,35,0,0,2,1,2014,2014
RochesterCommunityHighSchool,2173,44,64,15,11,112,0,10,113,76,47,,94,55,68,114,0,1,0,8,2014,2014
RockCreekCommunityAcademy,0771,10,11,0,1,20,0,0,21,13,8,,17,7,14,14,0,3,0,4,2014,2014
RockvilleJrSrHighSchool,6637,18,27,8,3,50,6,12,35,28,25,,33,23,30,50,0,1,0,2,2014,2014
RoncalliHighSchool,C320,151,96,2,1,248,103,59,87,161,88,,226,26,223,234,1,7,1,6,2014,2014
RossvilleMiddleSeniorHighSchool,1021,15,33,11,1,58,8,15,36,19,40,,55,14,45,59,0,0,0,0,2014,2014
RushvilleConsolidatedHighSch,7285,57,84,60,5,196,3,23,175,135,66,,160,60,141,188,4,2,1,6,2014,2014
SaintJosephHighSchool,D225,76,109,2,0,187,65,12,110,11,176,,183,10,177,156,3,12,10,6,2014,2014
SalemHighSchool,8857,30,91,38,23,136,3,7,149,95,64,,121,60,99,157,1,0,0,1,2014,2014
ScecinaMemorialSchool,C710,41,34,3,2,76,22,22,34,1,77,,63,20,58,59,8,6,2,3,2014,2014
ScottsburgSeniorHighSchool,7641,59,68,32,15,144,7,29,123,117,42,,137,43,116,151,0,3,3,2,2014,2014
SeegerMemorialJrSrHS,8737,18,58,15,3,88,8,20,63,53,38,,81,31,60,89,1,1,0,0,2014,2014
SetonCatholicHighSchool,D842,10,8,0,1,17,4,8,6,10,8,8,17,4,14,17,0,0,0,1,2014,2014
SeymourChristianAcademy,B455,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
SeymourSeniorHighSchool,3133,89,101,88,40,238,35,25,218,232,46,,243,90,188,243,4,24,1,6,2014,2014
ShakamakJrSrHighSchool,2445,22,25,8,4,51,1,8,46,38,17,,34,24,31,52,0,2,0,1,2014,2014
ShaweMemorialHighSchool,B505,7,10,1,1,17,3,5,10,13,5,,17,3,15,16,1,0,0,1,2014,2014
ShelbyvilleSrHighSch,7717,90,117,40,14,233,27,23,197,159,88,,215,90,157,214,4,21,2,6,2014,2014
ShenandoahHighSchool,2817,38,73,9,2,118,13,14,93,74,46,,96,33,87,116,0,1,1,2,2014,2014
SheridanHighSchool,2463,35,34,12,4,77,7,16,58,43,38,,64,20,61,78,1,1,0,1,2014,2014
ShoalsCommJrSrHighSch,5985,6,23,11,0,40,0,0,40,23,17,8,26,19,21,38,0,0,0,2,2014,2014
ShortridgeHighSchool,5485,13,42,1,2,54,2,31,23,11,45,,35,41,15,10,32,10,1,3,2014,2014
SignatureSchoolInc,8295,73,4,0,0,77,59,6,12,2,75,,73,6,71,56,1,2,16,2,2014,2014
SilverCreekHighSchool,0777,66,71,46,13,170,4,21,158,140,43,,173,35,148,165,3,11,1,3,2014,2014
SouthAdamsHighSchool,0023,23,57,22,3,99,3,8,91,68,34,,86,40,62,91,1,6,1,3,2014,2014
SouthCentralJrSrHighSchool,4737,23,28,15,4,62,3,13,50,40,26,,59,12,54,61,0,3,0,2,2014,2014
SouthCentralJrSrHighSchool,2670,6,30,15,3,48,0,6,45,31,20,9,46,18,33,51,0,0,0,0,2014,2014
SouthDearbornHighSchool,1179,50,102,53,20,185,7,20,178,132,73,,180,64,141,197,0,2,2,4,2014,2014
SouthDecaturJrSrHighSchool,1263,22,35,15,12,60,4,25,43,54,18,,57,23,49,67,1,2,0,2,2014,2014
SouthKnoxMiddleHighSchool,3490,26,19,30,5,70,1,14,60,44,31,,62,21,54,73,0,0,0,2,2014,2014
SouthNewtonSeniorHighSch,6417,11,30,6,1,46,7,5,35,28,19,,39,24,23,38,0,8,0,1,2014,2014
SouthPutnamHighSchool,7071,18,63,17,0,98,15,10,73,44,54,,78,27,71,92,0,1,0,5,2014,2014
SouthRipleyHighSchool,7182,29,36,21,6,80,0,8,78,76,10,,61,32,54,85,0,1,0,0,2014,2014
SouthSideHighSchool,0105,64,194,61,64,255,16,28,275,129,190,,246,215,104,109,109,62,23,16,2014,2014
SouthSpencerHighSchool,7795,36,51,18,3,102,19,20,66,37,68,,88,41,64,98,1,5,0,1,2014,2014
SouthVermillionHighSchool,8432,58,60,26,17,127,22,40,82,83,61,,120,55,89,141,0,2,0,1,2014,2014
SouthernWellsJrSrHighSch,9058,21,32,10,2,61,7,6,50,32,31,,59,13,50,61,0,1,0,1,2014,2014
SouthmontSrHighSchool,6257,27,74,15,6,110,14,27,75,59,57,,102,30,86,114,0,1,0,1,2014,2014
SouthportHighSchool,5309,93,290,85,96,372,65,83,320,83,385,,375,232,236,282,58,42,69,17,2014,2014
SouthridgeHighSchool,1588,29,48,18,4,91,5,2,88,54,41,,72,30,65,80,0,14,1,0,2014,2014
SouthwestINRegionalYouthVlg,B562,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
SouthwesternHighSchool,3337,35,38,18,12,79,11,9,71,51,40,,72,27,64,89,1,0,0,1,2014,2014
SouthwesternHighSchool,7701,16,24,9,8,41,4,23,22,21,28,,38,14,35,49,0,0,0,0,2014,2014
SouthwoodJrSrHighSchool,8655,27,47,20,6,88,8,25,61,54,40,,79,23,71,88,0,1,0,5,2014,2014
SpeedwaySeniorHighSchool,5891,37,57,18,10,102,32,22,58,36,76,,86,58,54,68,18,14,6,6,2014,2014
SpringsValleyCommHighSch,6589,21,22,26,5,64,0,1,68,44,25,,59,20,49,61,1,2,0,5,2014,2014
SullivanHighSchool,7957,35,56,18,5,104,6,20,83,69,40,,78,50,59,102,0,4,0,3,2014,2014
SwitzerlandCoSeniorHighSch,7993,11,80,7,18,80,6,6,86,45,53,,69,54,44,95,1,1,0,1,2014,2014
TCHarrisSchool,D451,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
TROYCenter,D907,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
TabernacleChristianSchools,C940,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
TaylorHighSchool,2894,25,53,18,4,92,5,18,73,45,51,,70,34,62,82,5,3,1,5,2014,2014
TecumsehJrSrHighSch,8772,14,18,23,6,49,4,1,50,33,22,,47,11,44,52,1,0,0,2,2014,2014
TellCityJrSrHighSchool,6741,17,56,37,6,104,4,6,100,75,35,,89,26,84,104,1,4,0,1,2014,2014
TerreHauteNorthVigoHighSch,8441,143,201,73,40,377,37,41,339,304,113,,321,145,272,364,18,10,2,23,2014,2014
TerreHauteSouthVigoHighSch,8457,112,158,69,22,317,63,34,242,211,128,,253,128,211,271,16,7,12,33,2014,2014
TheAcadofSciEntrepreneurship,6202,9,19,13,0,41,0,0,41,39,2,,27,11,30,29,1,2,1,8,2014,2014
TheExcelCenterAnderson,4904,1,65,12,6,72,0,0,78,29,49,2,76,51,27,45,23,4,1,5,2014,2014
TheExcelCenterKokomo,2976,0,13,0,0,13,0,0,13,6,7,1,12,11,2,12,0,0,0,1,2014,2014
TheExcelCenterLafayette,8094,0,22,1,0,23,0,0,23,12,11,1,21,15,8,18,1,1,0,3,2014,2014
TheExcelCenterLafayetteSq,5912,0,23,0,1,22,0,0,23,14,9,0,19,13,10,5,12,4,0,2,2014,2014
TheExcelCenterRichmond,9012,0,17,0,0,17,0,0,17,14,3,1,14,11,6,13,2,1,0,1,2014,2014
TheIndependenceAcademy,C589,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
TheKingsAcademy,B136,3,9,0,0,12,2,1,9,0,12,6,10,0,12,12,0,0,0,0,2014,2014
TheaBowmanLeadershipAcademy,4022,28,72,0,0,100,0,3,97,39,61,,64,84,16,0,97,0,0,3,2014,2014
TheodoreRooseveltCareerTechnicalAcademy,4033,0,68,1,19,50,0,0,69,2,67,2,44,62,7,0,67,1,0,1,2014,2014
ThomasAEdisonJrSrHighSchool,3965,11,74,0,2,83,5,21,59,28,57,,73,56,29,41,8,33,1,2,2014,2014
ThomasCarrHoweCommunityHighSchool,5639,2,48,0,8,42,0,0,50,2,48,4,45,44,6,17,26,1,0,6,2014,2014
TippecanoeValleyHighSchool,3602,39,71,23,10,123,0,2,131,60,73,,98,56,77,119,0,9,0,5,2014,2014
TiptonHighSchool,8177,51,51,21,11,112,8,15,100,63,60,,107,37,86,109,1,7,2,4,2014,2014
ToddAcademyInc,B293,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
TradersPointChristianAcademy,C375,7,6,0,0,13,2,7,4,4,9,7,13,0,13,9,4,0,0,0,2014,2014
TriCentralMiddleHighSchool,8155,16,41,10,4,63,13,14,40,18,49,,57,16,51,61,2,2,0,2,2014,2014
TriJuniorSeniorHighSchool,2773,26,35,11,2,70,1,11,60,45,27,,58,27,45,72,0,0,0,0,2014,2014
TriCountyMiddleSeniorHigh,9141,22,27,6,1,54,1,12,42,45,10,,51,15,40,55,0,0,0,0,2014,2014
TriWestSeniorHighSchool,2731,46,68,23,9,128,15,12,110,78,59,,125,26,111,135,0,2,0,0,2014,2014
TrinityChristianSchool,C561,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
TrinityLutheranHighSchool,B452,23,17,1,0,41,2,2,37,35,6,,38,0,41,40,0,0,1,0,2014,2014
TritonCentralHighSchool,7689,43,57,18,5,113,0,0,118,80,38,,97,34,84,118,0,0,0,0,2014,2014
TritonJrSrHighSchool,5923,21,32,18,4,67,2,7,62,42,29,,59,24,47,70,0,1,0,0,2014,2014
TurkeyRunJrSrHighSchool,6649,5,15,13,3,30,4,7,22,20,13,,22,16,17,32,0,0,0,1,2014,2014
TwinLakesSeniorHighSchool,9149,54,100,21,11,164,13,34,128,122,53,,136,55,120,156,1,14,2,2,2014,2014
UnionCityCommunityJrSrHS,7161,15,24,10,8,41,1,10,38,34,15,,31,23,26,41,0,7,1,0,2014,2014
UnionCountyHighSchool,8193,21,48,27,10,86,13,10,73,29,67,,87,35,61,92,0,1,0,3,2014,2014
UnionHighSchool,7909,9,12,2,0,23,0,4,19,13,10,6,20,9,14,23,0,0,0,0,2014,2014
UnionJuniorHighSchool,7119,12,20,9,9,32,2,5,34,15,26,,29,15,26,39,0,1,1,0,2014,2014
UniversityHeightsPreparatoryAcademy,5864,1,12,0,0,13,0,0,13,0,13,1,13,12,1,8,3,2,0,0,2014,2014
UniversityHighSchoolofIndiana,B241,37,30,1,1,67,42,14,12,1,67,,65,0,68,53,5,2,6,2,2014,2014
ValparaisoHighSchool,6881,237,228,23,12,476,85,60,343,236,252,,448,90,398,403,16,43,8,18,2014,2014
VictoryChristianAcademy,D073,2,6,2,3,7,0,0,10,4,6,4,10,0,10,7,1,2,0,0,2014,2014
WabashHighSchool,8693,18,47,44,13,96,6,8,95,70,39,,88,61,48,104,0,1,1,3,2014,2014
WaldoJWoodMemorialHighSchool,2233,11,14,24,4,45,0,2,47,4,45,,41,8,41,47,1,1,0,0,2014,2014
WaldronJrSrHighSchool,7665,12,37,5,6,48,3,15,36,10,44,,48,12,42,52,0,0,0,2,2014,2014
WapahaniHighSchool,1375,29,40,11,1,79,10,6,64,55,25,,67,27,53,78,0,0,0,2,2014,2014
WarrenCentralHighSchool,5361,114,467,202,79,704,78,75,630,372,411,,628,490,293,265,391,68,9,50,2014,2014
WarsawCommunityHighSchool,3647,210,248,70,38,490,100,37,391,365,163,,460,182,346,416,16,87,5,4,2014,2014
WashingtonCatholicMidHighSch,A660,10,7,0,0,17,1,4,12,12,5,,17,1,16,17,0,0,0,0,2014,2014
WashingtonHighSchool,7517,34,144,23,33,168,0,30,171,76,125,,142,142,59,48,88,57,0,8,2014,2014
WashingtonHighSchool,1125,52,74,57,19,164,2,29,152,96,87,,147,77,106,153,1,21,0,8,2014,2014
WashingtonTwpMiddleHighSchool,6849,14,35,9,2,56,1,8,49,44,14,,56,10,48,50,0,6,1,1,2014,2014
WawaseeHighSchool,3639,45,96,27,8,160,8,14,146,87,81,,148,55,113,147,2,16,1,2,2014,2014
WayneHighSchool,0177,66,180,46,49,243,3,58,231,127,165,,229,207,85,138,96,37,5,16,2014,2014
WesDelMiddleSeniorHighSchool,1372,19,39,6,1,63,4,7,53,32,32,,52,15,49,63,0,0,0,1,2014,2014
WestCentralSeniorHighSchool,7025,25,28,4,4,53,0,11,46,46,11,,46,14,43,53,0,3,0,1,2014,2014
WestLafayetteJrSrHighSch,8129,120,56,18,4,190,95,7,92,116,78,,187,16,178,134,7,10,36,7,2014,2014
WestNobleHighSchool,6489,41,92,20,7,146,0,8,145,90,63,,113,89,64,81,1,67,0,4,2014,2014
WestSideLeadershipAcademy,4163,18,146,28,43,149,0,39,153,40,152,,148,127,65,0,182,1,0,9,2014,2014
WestVigoHighSchool,8453,37,62,16,7,108,6,17,92,86,29,,81,53,62,113,0,0,0,2,2014,2014
WestWashingtonJrSrHS,8869,22,33,23,1,77,7,19,52,44,34,,43,40,38,77,0,1,0,0,2014,2014
WesternBooneJrSrHighSchool,0539,60,93,3,4,152,32,32,92,115,41,,138,48,108,148,0,6,0,2,2014,2014
WesternHighSchool,2921,97,69,21,13,174,30,30,127,119,68,,156,29,158,166,8,6,2,5,2014,2014
WestfieldHighSchool,2493,224,186,43,6,447,182,56,215,233,220,,430,64,389,382,18,34,11,8,2014,2014
WestviewJrSrHighSchool,3697,30,43,15,1,87,14,2,72,38,50,,78,26,62,83,2,1,0,2,2014,2014
WestvilleHighSchool,4701,21,38,12,3,68,0,12,59,39,32,,66,17,54,66,2,3,0,0,2014,2014
WheelerHighSchool,6841,40,61,25,6,120,8,17,101,67,59,,116,20,106,110,0,14,1,1,2014,2014
WhiteRiverValleyJrSrHighSchool,2429,15,22,22,3,56,0,0,59,32,27,,48,16,43,,0,1,1,0,2014,2014
WhitesAcademy,B473,***,***,***,***,***,***,***,***,***,***,,***,***,***,,***,***,***,***,2014,2014
WhitesJrSrHighSchool,8673,1,10,5,2,14,2,0,14,1,15,5,7,13,3,,1,0,0,1,2014,2014
WhitelandCommunityHighSchool,3421,131,279,23,30,403,83,71,279,191,242,,369,150,283,,6,9,23,6,2014,2014
WhitingHighSchool,4353,24,56,9,1,88,4,16,69,59,30,,59,51,38,42,0,43,1,3,2014,2014
WhitkoHighSchool,9191,40,86,16,4,138,6,14,122,75,67,,128,43,99,133,3,3,1,2,2014,2014
WilliamAWirtEmersonVisualPerfArtsAcademy,4168,4,65,4,2,71,0,20,53,14,59,7,47,37,36,0,71,1,0,1,2014,2014
WilliamHenryHarrisonHighSch,8029,137,142,71,22,328,86,22,242,182,168,,324,69,281,286,11,26,12,15,2014,2014
WilliamHenryHarrisonHighSchool,8311,51,69,83,37,166,16,18,169,93,110,,156,106,97,126,47,15,3,12,2014,2014
WilliamWBordenHighSchool,0813,22,29,3,6,48,4,11,39,43,11,,46,13,41,50,1,2,0,1,2014,2014
WinamacCommunityHighSchool,6997,24,45,9,5,73,5,16,57,44,34,,52,29,49,69,0,3,1,5,2014,2014
WinchesterCommunityHighSch,7125,31,36,22,7,82,5,11,73,61,28,,58,42,47,83,1,2,2,1,2014,2014
WoodlanJrSrHighSchool,0285,42,60,21,14,109,2,19,102,51,72,,104,35,88,97,6,4,10,6,2014,2014
YorktownHighSchool,1389,100,75,19,3,191,51,70,73,90,104,,168,39,155,187,0,2,3,2,2014,2014
ZionsvilleCommunityHighSchool,0512,280,144,14,6,432,194,26,218,106,332,,427,21,417,393,3,14,11,17,2014,2014
